Model family,Model,MAE,RMSE,MAPE (%),R2,AIC,BIC,order,seasonal_order,Training observations,Test observations
Machine Learning,Gradient Boosting,0.2685964982848874,0.34297514640325694,0.5732417394214099,0.9486658489142679,,,,,56,9
Machine Learning,Random Forest,0.24727172749473889,0.3506381431648777,0.36553840329814624,0.9367619442529475,,,,,56,9
Statistical,ARIMAX,0.43286394551825436,0.5721358792936672,1.4159605516105032,0.7452940008147977,77.03387976484008,98.9127042770471,"(1, 0, 1)","(0, 0, 0, 0)",56,9
Statistical,SARIMAX,0.4108321204070672,0.5891197835548475,1.2024714666533305,0.7445635421000274,70.38344666202934,91.23548208142978,"(1, 0, 1)","(0, 0, 1, 12)",56,9
