Model,MAE,RMSE,MAPE (%),R2,Training observations,Test observations
Gradient Boosting,0.2685964982848874,0.34297514640325694,0.5732417394214099,0.9486658489142679,56,9
Random Forest,0.24727172749473889,0.3506381431648777,0.36553840329814624,0.9367619442529475,56,9
