Model,MAE,RMSE,MAPE (%),R2,AIC,BIC,order,seasonal_order,Training observations,Test observations
ARIMAX,0.43286394551825436,0.5721358792936672,1.4159605516105032,0.7452940008147977,77.03387976484008,98.9127042770471,"(1, 0, 1)","(0, 0, 0, 0)",56,9
SARIMAX,0.4108321204070672,0.5891197835548475,1.2024714666533305,0.7445635421000274,70.38344666202934,91.23548208142978,"(1, 0, 1)","(0, 0, 1, 12)",56,9
